CustomerId,LoanAmount0,LoanPeriod0,Good,PredictedGood0
100001,2100,7,1,365
100002,4500,9,1,463
100003,7000,16,0,260
100004,1200,5,1,295
100005,2600,8,1,309
100006,2200,7,1,514
100007,43500,37,1,267
100008,1500,5,1,490
100009,6400,15,1,322
100010,92700,51,1,288
100001,2100,7,1,365
100002,4500,9,1,463
100003,7000,16,0,260
100004,1200,5,1,295
100005,2600,8,1,309
100006,2200,7,1,514
100007,43500,37,1,267
100008,1500,5,1,490
100009,6400,15,1,322
100010,92700,51,1,288
100011,18200,31,0,-440
100012,4800,10,1,202
100013,55600,39,0,65
100014,3000,8,1,322
100015,4200,11,1,481
100016,58000,42,1,187
100017,1000,4,1,349
100018,3000,8,0,-581
100019,6000,14,1,110
100020,5000,10,1,280
100001,2100,7,1,365
100002,4500,9,1,463
100003,7000,16,0,260
100004,1200,5,1,295
100005,2600,8,1,309
100006,2200,7,1,514
100007,43500,37,1,267
100008,1500,5,1,490
100009,6400,15,1,322
100010,92700,51,1,288
100011,18200,31,0,-440
100012,4800,10,1,202
100013,55600,39,0,65
100014,3000,8,1,322
100015,4200,11,1,481
100016,58000,42,1,187
100017,1000,4,1,349
100018,3000,8,0,-581
100019,6000,14,1,110
100020,5000,10,1,280
