CustomerId,LoanAmount0,LoanPeriod0,Good,PredictedGood0
100126,500,2,1,691
100338,1450,3,1,765
101082,1000,2,1,712
101235,2000,4,1,704
102253,1200,3,1,694
102364,500,4,1,706
102434,800,2,1,691
102531,1425,5,1,741
102803,500,4,1,690
102846,1000,2,1,706
102915,500,4,1,697
102921,4000,8,1,696
103031,500,2,1,741
103217,500,2,1,718
103296,2000,6,1,695
103559,500,2,1,695
103600,2500,5,1,704
103778,500,4,1,694
105150,500,4,1,698
105440,1000,4,1,746
106071,1400,5,1,697
106074,550,2,1,712
106157,1200,5,1,741
106169,1000,2,1,689
106200,500,2,1,733
106557,500,4,1,687
106672,1000,2,1,766
106720,2500,7,1,691
106799,900,2,1,691
107131,650,2,1,712
107388,2000,6,1,737
107529,3500,9,1,691
108187,2000,6,1,692
108526,1000,4,1,711
108564,1500,3,1,687
108642,1500,5,1,696
108968,2000,6,1,718
109005,1000,2,1,710
109491,1000,2,1,721
109710,1800,4,1,711
109721,1000,4,1,701
109891,600,2,1,732
110258,5000,10,1,698
110271,1500,3,1,698
110493,1000,4,1,695
110541,1500,3,1,721
110593,700,2,1,694
110740,3000,6,1,729
110953,650,4,1,698
110967,2000,4,1,712
110990,1500,5,1,723
111184,1000,2,1,691
111211,1000,2,1,734
111397,1300,3,1,708
111444,1000,4,1,712
111501,2000,6,1,711
111505,1000,4,1,692
111533,1000,4,1,690
111646,1700,6,1,693
111961,3000,6,1,697
111962,700,4,1,695
112033,2000,6,1,691
112134,5000,10,1,711
112300,4000,10,1,687
112306,1500,5,1,712
112413,1500,5,1,718
112487,2000,4,1,712
112666,1400,5,1,692
112888,1500,5,1,745
113285,3500,9,1,692
113627,850,4,1,698
114081,3000,8,1,711
114110,1300,5,0,699
114177,500,2,1,711
114677,600,4,1,692
114710,1200,3,1,712
114732,1000,2,1,694
115013,850,4,1,714
115022,3500,9,1,734
115077,500,2,1,695
115215,1000,2,1,703
115411,1500,5,0,749
115656,500,4,1,693
115937,2000,6,1,711
116251,2000,6,1,748
116445,1750,4,1,752
116582,500,4,1,746
116678,500,4,1,752
117032,3000,8,1,711
117038,1800,6,1,694
117493,600,2,1,712
117673,2000,6,1,690
117741,10000,22,1,713
117810,1700,6,1,701
117897,1000,4,1,712
117978,1000,4,1,686
118202,500,2,1,692
