LoanAmount0,LoanPeriod0,Good,PredictedGood0
2100,7,1,365
4500,9,1,463
7000,16,0,260
1200,5,1,295
2600,8,1,309
2200,7,1,514
43500,37,1,267
1500,5,1,490
6400,15,1,322
92700,51,1,288
18200,31,0,-440
4800,10,1,202
55600,39,0,65
3000,8,1,322
4200,11,1,481
58000,42,1,187
1000,4,1,349
3000,8,0,-581
6000,14,1,110
5000,10,1,280
1900,4,1,367
770,4,1,184
670,4,1,573
2000,4,1,490
2500,7,1,230
85500,46,1,108
22700,33,1,45
2600,7,1,478
5000,12,1,367
7600,15,1,309
43500,36,1,267
4000,10,0,-322
3000,6,1,319
99800,47,1,358
7600,17,1,378
3000,8,1,409
500,4,0,261
700,4,1,444
5000,12,1,330
2100,7,1,360
1280,5,0,508
4700,11,0,-462
4600,11,1,448
5700,13,1,390
1000,4,0,-398
2000,6,1,340
13800,25,0,-248
2000,4,1,364
4600,11,1,243
10000,21,1,485
1500,5,1,416
5300,11,1,418
4500,11,1,303
2500,5,1,200
1500,5,1,391
3000,6,1,453
4700,11,0,-294
5000,12,1,433
1000,2,1,517
1500,5,1,551
5500,13,1,321
2500,5,1,498
2500,7,1,192
1500,3,1,430
18200,32,0,429
3000,6,1,385
1500,3,1,451
7000,17,1,419
1000,4,0,-423
7000,14,1,364
2100,7,1,511
5500,11,1,436
10000,22,1,263
1500,3,1,322
7000,16,1,419
2000,6,1,385
4000,10,1,491
10000,21,1,117
10000,21,0,-403
1000,4,1,182
47900,39,1,286
2200,7,1,283
2700,6,1,299
9000,20,1,238
32300,34,0,-422
500,2,1,610
5000,12,1,474
2000,6,0,211
2000,4,1,581
1500,5,1,243
2250,5,1,340
1000,4,0,-460
2000,6,1,411
1000,2,1,390
43500,37,1,381
1000,2,1,364
4500,11,0,498
2500,7,0,372
46400,42,1,384
1800,6,1,477
6060,14,1,178
1500,5,1,495
82500,44,1,472
10000,21,1,305
6000,14,1,94
6000,12,1,485
25500,34,1,420
3000,8,0,285
4000,10,1,340
5000,10,1,258
6000,15,1,473
1600,6,1,474
5000,10,1,439
3600,9,0,102
4500,9,1,385
4500,11,1,362
5000,10,1,482
1000,2,1,646
5000,12,1,526
6200,14,1,505
2000,6,0,-475
5000,12,1,482
6500,15,1,308
4700,11,0,-331
7800,17,1,453
500,2,1,691
1700,6,1,126
3800,10,1,388
1700,6,1,467
5000,10,1,485
1000,4,1,475
3700,10,1,373
12200,22,1,394
8000,19,1,402
4700,9,1,360
5000,10,1,525
87700,46,1,265
3500,9,1,483
2000,4,1,326
7000,17,1,491
58000,40,0,98
6500,15,1,400
17400,30,1,441
3000,6,1,661
4000,10,1,-47
10000,22,1,394
5800,13,1,436
7000,17,1,516
4200,11,1,492
4000,10,1,132
4000,8,1,405
1000,4,1,289
1954,6,1,403
1800,6,1,493
5000,12,1,433
4000,8,1,436
1300,5,1,419
9200,20,1,367
4000,10,0,151
2000,6,1,424
542,2,1,436
1000,4,0,-422
1600,4,1,436
3750,10,1,119
6000,14,1,456
4000,8,1,351
2782,6,1,255
6500,13,1,560
3500,9,0,90
1000,4,1,515
8000,16,1,505
760,4,0,-331
2000,6,1,505
4000,8,1,551
1000,4,0,-419
1000,4,0,-446
600,4,1,597
1000,2,1,195
8000,18,1,454
2000,4,1,453
1000,2,1,592
1600,4,1,595
1218,5,1,412
3500,9,1,343
600,4,0,-461
1600,6,1,383
2782,6,1,529
2500,5,1,423
651,4,0,-283
2894,8,1,536
1200,5,1,529
2500,7,1,541
543,4,1,326
1300,5,1,494
6000,12,1,384
5838,14,0,-506
5838,14,0,-405
850,4,1,242
4000,10,1,454
10000,21,1,588
2294,7,1,377
1500,5,1,354
1084,5,1,500
7500,17,1,504
5000,10,1,294
3411,9,1,410
1200,3,1,560
6188,14,1,76
1108,5,1,416
543,2,1,421
5000,10,1,418
4000,10,1,355
2500,7,1,471
6000,12,1,505
6000,14,1,474
4000,8,1,364
2000,6,1,343
1000,4,0,-467
2500,5,1,405
5000,10,1,364
1773,6,1,205
3500,7,1,416
8000,19,1,494
542,4,0,-291
543,2,1,373
1671,4,1,514
1100,3,1,321
543,2,1,373
4000,8,1,453
1084,5,1,399
3000,8,1,461
3000,8,1,475
5120,12,1,374
1300,5,1,474
543,2,1,436
1500,5,1,244
600,2,1,493
1500,5,0,-455
500,4,1,554
2000,6,1,270
1301,5,0,324
5400,11,1,384
5000,12,0,-358
8400,19,0,444
1500,5,1,474
8000,18,1,349
3632,7,1,178
3000,8,1,347
1500,5,0,-446
540,4,1,374
15000,26,1,505
4500,11,0,384
2000,6,1,550
4408,11,1,247
1000,4,1,371
5850,14,1,384
5000,11,1,511
10000,23,1,454
