ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0
100001,2100,7,1,365
100002,4500,9,1,463
100006,2200,7,1,514
100008,1500,5,1,490
100015,4200,11,1,481
100021,1900,4,1,367
100023,670,4,1,573
100024,2000,4,1,490
100028,2600,7,1,478
100029,5000,12,1,367
100034,99800,47,1,358
100035,7600,17,1,378
100036,3000,8,1,409
100038,700,4,1,444
100040,2100,7,1,360
100041,1280,5,0,508
100043,4600,11,1,448
100044,5700,13,1,390
100048,2000,4,1,364
100050,10000,21,1,485
100051,1500,5,1,416
100052,5300,11,1,418
100055,1500,5,1,391
100056,3000,6,1,453
100058,5000,12,1,433
100059,1000,2,1,517
100060,1500,5,1,551
100062,2500,5,1,498
100064,1500,3,1,430
100065,18200,32,0,429
100066,3000,6,1,385
100067,1500,3,1,451
100068,7000,17,1,419
100070,7000,14,1,364
100071,2100,7,1,511
100072,5500,11,1,436
100075,7000,16,1,419
100076,2000,6,1,385
100077,4000,10,1,491
100086,500,2,1,610
100087,5000,12,1,474
100089,2000,4,1,581
100093,2000,6,1,411
100094,1000,2,1,390
100095,43500,37,1,381
100096,1000,2,1,364
100097,4500,11,0,498
100098,2500,7,0,372
100099,46400,42,1,384
100100,1800,6,1,477
100102,1500,5,1,495
100103,82500,44,1,472
100106,6000,12,1,485
100107,25500,34,1,420
100111,6000,15,1,473
100112,1600,6,1,474
100113,5000,10,1,439
100115,4500,9,1,385
100116,4500,11,1,362
100117,5000,10,1,482
100118,1000,2,1,646
100119,5000,12,1,526
100120,6200,14,1,505
100122,5000,12,1,482
100125,7800,17,1,453
100126,500,2,1,691
100128,3800,10,1,388
100129,1700,6,1,467
100130,5000,10,1,485
100131,1000,4,1,475
100132,3700,10,1,373
100133,12200,22,1,394
100134,8000,19,1,402
100135,4700,9,1,360
100136,5000,10,1,525
100138,3500,9,1,483
100140,7000,17,1,491
100142,6500,15,1,400
100143,17400,30,1,441
100144,3000,6,1,661
100146,10000,22,1,394
100147,5800,13,1,436
100148,7000,17,1,516
100149,4200,11,1,492
100151,4000,8,1,405
100153,1954,6,1,403
