ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,OptimizedLoanAmount,OptimizedLoanPeriod,OptimizedPredictedGood
100001,2100,7,1,365,2077.1518215,12.390507699,684.0000058686627
100002,4500,9,1,463,4456.1703072,12.722621224,684.0000000996539
100003,7000,16,0,260,6935.5439249,23.150364364,684.0000000947359
100004,1200,5,1,295,1182.1568673,11.577624151,684.0000000067281
100005,2600,8,1,309,2568.4876136,14.334831349,684.0000039048136
100006,2200,7,1,514,2186.638943,9.8721820658,684.0000000776841
100007,43500,37,1,267,43052.807161,43.86974369,684.006232753768
100008,1500,5,1,490,1486.1048669,8.2782397895,684.0000034942663
100009,6400,15,1,322,6347.6509572,21.105928946,684.0000001349537
100010,92700,51,1,288,91721.46467,57.288926528,684.0000902394236
