ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,RoundedOptimizedLoanAmount,RoundedOptimizedLoanPeriod,OptimizedClientScoreWithRoundedValues
100003.0,7000.0,16.0,0.0,260.0,6900.0,18,380.64776964489556
100004.0,1200.0,5.0,1.0,295.0,1100.0,6,356.57579613383655
100005.0,2600.0,8.0,1.0,309.0,2500.0,9,370.57579613383666
100007.0,43500.0,37.0,1.0,267.0,43400.0,39,387.64776964489556
100009.0,6400.0,15.0,1.0,322.0,6300.0,16,383.57579613383643
100010.0,92700.0,51.0,1.0,288.0,92500.0,52,352.0796187566143
100011.0,18200.0,31.0,0.0,-440.0,17900.0,45,394.519097023157
100012.0,4800.0,10.0,1.0,202.0,4700.0,13,381.71974315595435
100013.0,55600.0,39.0,0.0,65.0,55100.0,44,372.87898066918297
100014.0,3000.0,8.0,1.0,322.0,2900.0,9,383.57579613383655
100016.0,58000.0,42.0,1.0,187.0,57700.0,45,371.7273884015094
100017.0,1000.0,4.0,1.0,349.0,950.0,5,409.32388482244767
100018.0,3000.0,8.0,0.0,-581.0,2800.0,24,369.1592214224976
100019.0,6000.0,14.0,1.0,110.0,5900.0,19,407.86369017807215
100020.0,5000.0,10.0,1.0,280.0,4900.0,12,400.64776964489545
100022.0,770.0,4.0,1.0,184.0,750.0,7,361.7166850577322
100025.0,2500.0,7.0,1.0,230.0,2400.0,10,409.71974315595435
100026.0,85500.0,46.0,1.0,108.0,84800.0,50,361.8146524036788
100027.0,22700.0,33.0,1.0,45.0,22500.0,39,404.43948631190915
100030.0,7600.0,15.0,1.0,309.0,7500.0,16,370.57579613383643
100031.0,43500.0,36.0,1.0,267.0,43400.0,38,387.64776964489556
100032.0,4000.0,10.0,0.0,-322.0,3900.0,22,389.36750475548433
100033.0,3000.0,6.0,1.0,319.0,2900.0,7,380.57579613383655
100037.0,500.0,4.0,0.0,261.0,450.0,6,380.3958583335067
100039.0,5000.0,12.0,1.0,330.0,4900.0,13,391.57579613383655
100042.0,4700.0,11.0,0.0,-462.0,4500.0,25,370.0152744003798
100045.0,1000.0,4.0,0.0,-398.0,950.0,17,371.18756695515447
100046.0,2000.0,6.0,1.0,340.0,1900.0,7,401.57579613383655
100047.0,13800.0,25.0,0.0,-248.0,13600.0,36,406.79935386720354
100049.0,4600.0,11.0,1.0,243.0,4500.0,13,363.64776964489545
100053.0,4500.0,11.0,1.0,303.0,4400.0,12,364.57579613383655
100054.0,2500.0,5.0,1.0,200.0,2400.0,8,379.71974315595446
100057.0,4700.0,11.0,0.0,-294.0,4600.0,22,358.29553124442566
100061.0,5500.0,13.0,1.0,321.0,5400.0,14,382.57579613383666
100063.0,2500.0,7.0,1.0,192.0,2400.0,10,371.71974315595435
100069.0,1000.0,4.0,0.0,-423.0,950.0,18,405.2595404662135
100073.0,10000.0,22.0,1.0,263.0,9900.0,24,383.64776964489533
