ClientId,Good,PredictedGood0,OptimizedClientScoreWithRoundedValues,LoanAmount0,LoanPeriod0,RoundedOptimizedLoanAmount,RoundedOptimizedLoanPeriod,Deviation,dLAmount,dLPeriod,Reject2Accept,,,,threshold
101250,1,348,409.5757961,139300,57,139200,58,3.12E-05,0.0718%,1.7544%,1,6960,,dLAmount,5%
113769,1,321,382.5757961,120700,56,120600,57,3.25E-05,0.0829%,1.7857%,1,6030,,dLPeriod,5%
104020,1,302,366.0796188,126200,57,126000,58,3.30E-05,0.1585%,1.7544%,1,6300,,,
102953,1,343,404.5757961,122600,54,122500,55,3.49E-05,0.0816%,1.8519%,1,6125,,Interest,5%
111474,1,307,371.0796188,107300,56,107100,57,3.50E-05,0.1864%,1.7857%,1,5355,,,
116879,1,332,393.5757961,140200,53,140100,54,3.61E-05,0.0713%,1.8868%,1,7005,,Gained [$],939030
112960,1,337,398.5757961,128300,53,128200,54,3.61E-05,0.0779%,1.8868%,1,6410,,,
113309,1,322,386.0796188,122700,53,122500,54,3.80E-05,0.1630%,1.8868%,1,6125,,,
114478,1,302,366.0796188,122700,52,122500,53,3.94E-05,0.1630%,1.9231%,1,6125,,,
115439,1,302,366.0796188,96400,53,96200,54,3.95E-05,0.2075%,1.8868%,1,4810,,,
104785,1,306,372.5834414,140200,53,139900,54,3.97E-05,0.2140%,1.8868%,1,6995,,,
105736,1,292,358.5834414,131500,53,131200,54,4.03E-05,0.2281%,1.8868%,1,6560,,,
108699,1,346,407.5757961,111100,50,111000,51,4.07E-05,0.0900%,2.0000%,1,5550,,,
102398,1,327,388.5757961,105200,50,105100,51,4.08E-05,0.0951%,2.0000%,1,5255,,,
100010,1,288,352.0796188,92700,51,92500,52,4.26E-05,0.2157%,1.9608%,1,4625,,,
101360,1,343,404.5757961,87700,49,87600,50,4.28E-05,0.1140%,2.0408%,1,4380,,,
109043,1,289,355.5834414,116100,52,115800,53,4.30E-05,0.2584%,1.9231%,1,5790,,,
115178,1,303,367.0796188,106900,50,106700,51,4.32E-05,0.1871%,2.0000%,1,5335,,,
112280,1,338,399.5757961,87700,48,87600,49,4.46E-05,0.1140%,2.0833%,1,4380,,,
108346,1,319,380.5757961,87200,48,87100,49,4.46E-05,0.1147%,2.0833%,1,4355,,,
109939,1,326,387.5757961,71700,48,71600,49,4.52E-05,0.1395%,2.0833%,1,3580,,,
107091,1,344,405.5757961,87700,47,87600,48,4.64E-05,0.1140%,2.1277%,1,4380,,,
110157,1,331,392.5757961,84100,47,84000,48,4.65E-05,0.1189%,2.1277%,1,4200,,,
110486,1,320,381.5757961,80700,47,80600,48,4.67E-05,0.1239%,2.1277%,1,4030,,,
113848,1,314,378.0796188,97800,48,97600,49,4.72E-05,0.2045%,2.0833%,1,4880,,,
107415,1,305,369.0796188,87700,48,87500,49,4.81E-05,0.2281%,2.0833%,1,4375,,,
117047,1,319,380.5757961,87700,46,87600,47,4.84E-05,0.1140%,2.1739%,1,4380,,,
105177,1,336,397.5757961,85500,46,85400,47,4.85E-05,0.1170%,2.1739%,1,4270,,,
104374,1,309,370.5757961,82000,46,81900,47,4.86E-05,0.1220%,2.1739%,1,4095,,,
114621,1,311,372.5757961,81100,46,81000,47,4.86E-05,0.1233%,2.1739%,1,4050,,,
116919,1,306,367.5757961,78400,46,78300,47,4.87E-05,0.1276%,2.1739%,1,3915,,,
115311,1,306,367.5757961,71700,46,71600,47,4.90E-05,0.1395%,2.1739%,1,3580,,,
110699,1,346,407.5757961,80700,45,80600,46,5.08E-05,0.1239%,2.2222%,1,4030,,,
107651,1,331,392.5757961,71300,45,71200,46,5.12E-05,0.1403%,2.2222%,1,3560,,,
110898,1,321,382.5757961,71300,45,71200,46,5.12E-05,0.1403%,2.2222%,1,3560,,,
108265,1,331,392.5757961,75600,44,75500,45,5.32E-05,0.1323%,2.2727%,1,3775,,,
109090,0,310,371.5757961,71300,44,71200,45,5.34E-05,0.1403%,2.2727%,1,3560,,,
105688,1,339,400.5757961,69800,44,69700,45,5.35E-05,0.1433%,2.2727%,1,3485,,,
113553,1,338,399.5757961,65300,44,65200,45,5.38E-05,0.1531%,2.2727%,1,3260,,,
114165,1,306,370.0796188,80700,45,80500,46,5.49E-05,0.2478%,2.2222%,1,4025,,,
115181,1,323,384.5757961,78400,43,78300,44,5.55E-05,0.1276%,2.3256%,1,3915,,,
104482,1,337,398.5757961,75600,43,75500,44,5.57E-05,0.1323%,2.3256%,1,3775,,,
115706,1,334,395.5757961,74200,43,74100,44,5.57E-05,0.1348%,2.3256%,1,3705,,,
112319,1,296,360.0796188,75300,45,75100,46,5.57E-05,0.2656%,2.2222%,1,3755,,,
116382,1,309,370.5757961,73200,43,73100,44,5.58E-05,0.1366%,2.3256%,1,3655,,,
112293,1,323,384.5757961,71700,43,71600,44,5.58E-05,0.1395%,2.3256%,1,3580,,,
113733,1,348,409.5757961,71300,43,71200,44,5.59E-05,0.1403%,2.3256%,1,3560,,,
101532,1,335,396.5757961,69400,43,69300,44,5.60E-05,0.1441%,2.3256%,1,3465,,,
110081,1,322,383.5757961,65300,43,65200,44,5.62E-05,0.1531%,2.3256%,1,3260,,,
110113,1,343,404.5757961,59200,43,59100,44,5.67E-05,0.1689%,2.3256%,1,2955,,,
106684,1,305,366.5757961,71700,42,71600,43,5.84E-05,0.1395%,2.3810%,1,3580,,,
113526,1,326,387.5757961,71300,42,71200,43,5.85E-05,0.1403%,2.3810%,1,3560,,,
114686,1,322,383.5757961,71300,42,71200,43,5.85E-05,0.1403%,2.3810%,1,3560,,,
115759,1,326,387.5757961,69800,42,69700,43,5.85E-05,0.1433%,2.3810%,1,3485,,,
116003,1,326,387.5757961,68200,42,68100,43,5.86E-05,0.1466%,2.3810%,1,3405,,,
