ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0
100001,2100,7,1,365
100002,4500,9,1,463
100003,7000,16,0,260
100004,1200,5,1,295
100005,2600,8,1,309
100006,2200,7,1,514
100007,43500,37,1,267
100008,1500,5,1,490
100009,6400,15,1,322
100010,92700,51,1,288
100011,18200,31,0,-440
100012,4800,10,1,202
100013,55600,39,0,65
100014,3000,8,1,322
100015,4200,11,1,481
100016,58000,42,1,187
100017,1000,4,1,349
100018,3000,8,0,-581
100019,6000,14,1,110
100020,5000,10,1,280
100021,1900,4,1,367
100022,770,4,1,184
100023,670,4,1,573
100024,2000,4,1,490
100025,2500,7,1,230
100026,85500,46,1,108
100027,22700,33,1,45
100028,2600,7,1,478
100029,5000,12,1,367
100030,7600,15,1,309
100031,43500,36,1,267
100032,4000,10,0,-322
100033,3000,6,1,319
100034,99800,47,1,358
100035,7600,17,1,378
100036,3000,8,1,409
100037,500,4,0,261
100038,700,4,1,444
100039,5000,12,1,330
100040,2100,7,1,360
100041,1280,5,0,508
100042,4700,11,0,-462
100043,4600,11,1,448
100044,5700,13,1,390
100045,1000,4,0,-398
100046,2000,6,1,340
100047,13800,25,0,-248
100048,2000,4,1,364
100049,4600,11,1,243
100050,10000,21,1,485
100051,1500,5,1,416
100052,5300,11,1,418
100053,4500,11,1,303
100054,2500,5,1,200
100055,1500,5,1,391
100056,3000,6,1,453
100057,4700,11,0,-294
100058,5000,12,1,433
100059,1000,2,1,517
100060,1500,5,1,551
100061,5500,13,1,321
100062,2500,5,1,498
100063,2500,7,1,192
100064,1500,3,1,430
100065,18200,32,0,429
100066,3000,6,1,385
100067,1500,3,1,451
100068,7000,17,1,419
100069,1000,4,0,-423
100070,7000,14,1,364
100071,2100,7,1,511
100072,5500,11,1,436
100073,10000,22,1,263
100074,1500,3,1,322
100075,7000,16,1,419
100076,2000,6,1,385
100077,4000,10,1,491
100078,10000,21,1,117
100079,10000,21,0,-403
100080,1000,4,1,182
100081,47900,39,1,286
100082,2200,7,1,283
100083,2700,6,1,299
100084,9000,20,1,238
100085,32300,34,0,-422
100086,500,2,1,610
