ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,OptimizedLoanAmount,OptimizedLoanPeriod,OptimizedPredictedGood
100003,7000,16,0,260,6986.3178893,17.517810069,350.00261197376653
100004,1200,5,1,295,1197.4771723,5.9300172054,350.00111885290414
100005,2600,8,1,309,2596.5544641,8.692644751,350.00216249098617
100007,43500,37,1,267,43410.985528,38.367432836,350.00572075382615
100009,6400,15,1,322,6395.9505419,15.472323892,350.0024956848721
100010,92700,51,1,288,92546.794586,51.98463354,350.000238208032
100011,18200,31,0,-440,17984.391126,44.282128398,350.00000066106713
100012,4800,10,1,202,4772.938545,12.493968679,350.00122257564135
100013,55600,39,0,65,55156.191457,43.636549617,350.0023148595883
100014,3000,8,1,322,2996.8692893,8.4727166501,350.00269287570404
100016,58000,42,1,187,57761.263019,44.658170545,350.00093056133164
100017,1000,4,1,349,999.94657311,4.0182052621,350.07675847509154
100018,3000,8,0,-581,2895.9138643,23.716317108,350.0000001080092
100019,6000,14,1,110,5964.9842154,18.048024405,350.0015235606379
100020,5000,10,1,280,4986.1167038,11.179161071,350.00298466242657
100022,770,4,1,184,765.09950818,6.8080544145,350.0000156137726
100025,2500,7,1,230,2487.8280855,9.0262610146,350.00000012981866
100026,85500,46,1,108,84876.342745,49.832593872,350.0141551247143
100027,22700,33,1,45,22586.015452,38.115000326,350.00713466582465
100030,7600,15,1,309,7591.6510639,15.690568731,350.00230033603077
100031,43500,36,1,267,43406.113864,37.365363853,350.0054796701929
100032,4000,10,0,-322,3914.5521395,21.339735687,350.0000289867519
100033,3000,6,1,319,2993.8516915,6.5221990692,350.00127232242323
100037,500,4,0,261,498.89166407,5.5061671075,350.00001424322
100039,5000,12,1,330,4997.2408191,12.337460635,350.0035506873228
100042,4700,11,0,-462,4582.2442517,24.696032315,350.0000531838433
100045,1000,4,0,-398,962.77469984,16.646740918,349.9999999961236
100046,2000,6,1,340,1999.1152767,6.1690723837,350.00959127351234
100047,13800,25,0,-248,13655.607762,35.062041935,350.0000001720632
100049,4600,11,1,243,4585.1336037,12.80508621,350.00223297604896
100053,4500,11,1,303,4493.7495451,11.793035134,350.0026507327997
100054,2500,5,1,200,2470.2513397,7.5266660192,350.00000184403973
100057,4700,11,0,-294,4606.6070027,21.862369706,350.00001053464814
100061,5500,13,1,321,5495.8759752,13.489218689,350.00237170363414
100063,2500,7,1,192,2483.9736459,9.6679103342,350.00000007130495
100069,1000,4,0,-423,961.53053875,17.069426109,349.9999999892276
100073,10000,22,1,263,9985.7275645,23.466776309,350.0027277407669
100074,1500,3,1,322,1494.4468327,3.471653249,350.000529690471
100078,10000,21,1,117,9958.0669983,24.92659008,350.00135317752097
